IncrementalKey,Timestamp,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,OrderDate,DueDate,ShipDate
2218,2024-08-24T18:56:29.5900000,379,20111231,20120112,20120107,15457,1,100,SO46687,1,1,2181.5625,1320.6838,1320.6838,2181.5625,174.5250,54.5391,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
8,2024-08-24T18:56:29.5900000,351,20101230,20110111,20110106,11005,1,6,SO43704,1,1,3374.9900,1898.0944,1898.0944,3374.9900,269.9992,84.3748,2010-12-30T00:00:00.0000000,2011-01-11T00:00:00.0000000,2011-01-06T00:00:00.0000000
13,2024-08-24T18:56:29.5900000,313,20101231,20110112,20110107,16351,1,6,SO43709,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2010-12-31T00:00:00.0000000,2011-01-12T00:00:00.0000000,2011-01-07T00:00:00.0000000
27540,2024-08-24T18:56:29.5900000,585,20130626,20130708,20130703,26606,1,100,SO60940,1,1,742.3500,461.4448,461.4448,742.3500,59.3880,18.5588,2013-06-26T00:00:00.0000000,2013-07-08T00:00:00.0000000,2013-07-03T00:00:00.0000000
9,2024-08-24T18:56:29.5900000,344,20101230,20110111,20110106,11011,1,6,SO43705,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2010-12-30T00:00:00.0000000,2011-01-11T00:00:00.0000000,2011-01-06T00:00:00.0000000
47493,2024-08-24T18:56:29.5900000,471,20131030,20131111,20131106,18801,1,100,SO69715,3,1,63.5000,23.7490,23.7490,63.5000,5.0800,1.5875,2013-10-30T00:00:00.0000000,2013-11-11T00:00:00.0000000,2013-11-06T00:00:00.0000000
45729,2024-08-24T18:56:29.5900000,473,20131021,20131102,20131028,19051,1,100,SO68823,2,1,63.5000,23.7490,23.7490,63.5000,5.0800,1.5875,2013-10-21T00:00:00.0000000,2013-11-02T00:00:00.0000000,2013-10-28T00:00:00.0000000
5530,2024-08-24T18:56:29.5900000,565,20121230,20130111,20130106,13841,1,98,SO51211,1,1,742.3500,461.4448,461.4448,742.3500,59.3880,18.5588,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
2214,2024-08-24T18:56:29.5900000,354,20111229,20120110,20120105,12571,1,6,SO46683,1,1,2071.4196,1117.8559,1117.8559,2071.4196,165.7136,51.7855,2011-12-29T00:00:00.0000000,2012-01-10T00:00:00.0000000,2012-01-05T00:00:00.0000000
5466,2024-08-24T18:56:29.5900000,467,20121229,20130110,20130105,16688,1,6,SO51189,3,1,24.4900,9.1593,9.1593,24.4900,1.9592,0.6123,2012-12-29T00:00:00.0000000,2013-01-10T00:00:00.0000000,2013-01-05T00:00:00.0000000
2224,2024-08-24T18:56:29.5900000,373,20111231,20120112,20120107,13210,1,100,SO46693,1,1,2181.5625,1320.6838,1320.6838,2181.5625,174.5250,54.5391,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
3459,2024-08-24T18:56:29.5900000,387,20120608,20120620,20120615,24920,1,6,SO48498,1,1,1000.4375,605.6492,605.6492,1000.4375,80.0350,25.0109,2012-06-08T00:00:00.0000000,2012-06-20T00:00:00.0000000,2012-06-15T00:00:00.0000000
5440,2024-08-24T18:56:29.5900000,374,20121228,20130109,20130104,16313,1,100,SO51180,1,1,2443.3500,1554.9479,1554.9479,2443.3500,195.4680,61.0838,2012-12-28T00:00:00.0000000,2013-01-09T00:00:00.0000000,2013-01-04T00:00:00.0000000
2227,2024-08-24T18:56:29.5900000,370,20111231,20120112,20120107,21166,1,6,SO46696,1,1,2443.3500,1518.7864,1518.7864,2443.3500,195.4680,61.0838,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
10,2024-08-24T18:56:29.5900000,312,20101231,20110112,20110107,27621,1,100,SO43706,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2010-12-31T00:00:00.0000000,2011-01-12T00:00:00.0000000,2011-01-07T00:00:00.0000000
39751,2024-08-24T18:56:29.5900000,491,20130913,20130925,20130920,21149,1,100,SO66314,3,1,53.9900,41.5723,41.5723,53.9900,4.3192,1.3498,2013-09-13T00:00:00.0000000,2013-09-25T00:00:00.0000000,2013-09-20T00:00:00.0000000
2217,2024-08-24T18:56:29.5900000,325,20111230,20120111,20120106,20577,1,98,SO46686,1,1,782.9900,486.7066,486.7066,782.9900,62.6392,19.5748,2011-12-30T00:00:00.0000000,2012-01-11T00:00:00.0000000,2012-01-06T00:00:00.0000000
37293,2024-08-24T18:56:29.5900000,561,20130828,20130909,20130904,28697,1,98,SO65136,1,1,2384.0700,1481.9379,1481.9379,2384.0700,190.7256,59.6018,2013-08-28T00:00:00.0000000,2013-09-09T00:00:00.0000000,2013-09-04T00:00:00.0000000
2221,2024-08-24T18:56:29.5900000,368,20111231,20120112,20120107,13039,1,100,SO46690,1,1,2443.3500,1518.7864,1518.7864,2443.3500,195.4680,61.0838,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
19228,2024-08-24T18:56:29.5900000,488,20130503,20130515,20130510,11000,1,6,SO57418,5,1,53.9900,41.5723,41.5723,53.9900,4.3192,1.3498,2013-05-03T00:00:00.0000000,2013-05-15T00:00:00.0000000,2013-05-10T00:00:00.0000000
2208,2024-08-24T18:56:29.5900000,371,20111229,20120110,20120105,15460,1,100,SO46677,1,1,2181.5625,1320.6838,1320.6838,2181.5625,174.5250,54.5391,2011-12-29T00:00:00.0000000,2012-01-10T00:00:00.0000000,2012-01-05T00:00:00.0000000
2215,2024-08-24T18:56:29.5900000,381,20111230,20120111,20120106,18125,1,100,SO46684,1,1,1000.4375,605.6492,605.6492,1000.4375,80.0350,25.0109,2011-12-30T00:00:00.0000000,2012-01-11T00:00:00.0000000,2012-01-06T00:00:00.0000000
30061,2024-08-24T18:56:29.5900000,475,20130713,20130725,20130720,19715,1,100,SO62046,1,1,69.9900,26.1763,26.1763,69.9900,5.5992,1.7498,2013-07-13T00:00:00.0000000,2013-07-25T00:00:00.0000000,2013-07-20T00:00:00.0000000
5464,2024-08-24T18:56:29.5900000,376,20121229,20130110,20130105,16688,1,6,SO51189,1,1,2443.3500,1554.9479,1554.9479,2443.3500,195.4680,61.0838,2012-12-29T00:00:00.0000000,2013-01-10T00:00:00.0000000,2013-01-05T00:00:00.0000000
5449,2024-08-24T18:56:29.5900000,581,20121228,20130109,20130104,22998,1,19,SO51182,1,1,1700.9900,1082.5100,1082.5100,1700.9900,136.0792,42.5248,2012-12-28T00:00:00.0000000,2013-01-09T00:00:00.0000000,2013-01-04T00:00:00.0000000
783,2024-08-24T18:56:29.5900000,350,20110531,20110612,20110607,11365,1,6,SO44807,1,1,3374.9900,1898.0944,1898.0944,3374.9900,269.9992,84.3748,2011-05-31T00:00:00.0000000,2011-06-12T00:00:00.0000000,2011-06-07T00:00:00.0000000
49,2024-08-24T18:56:29.5900000,311,20110110,20110122,20110117,16514,1,6,SO43745,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2011-01-10T00:00:00.0000000,2011-01-22T00:00:00.0000000,2011-01-17T00:00:00.0000000
3805,2024-08-24T18:56:29.5900000,352,20120713,20120725,20120720,13953,1,6,SO48909,1,1,2071.4196,1117.8559,1117.8559,2071.4196,165.7136,51.7855,2012-07-13T00:00:00.0000000,2012-07-25T00:00:00.0000000,2012-07-20T00:00:00.0000000
785,2024-08-24T18:56:29.5900000,342,20110601,20110613,20110608,20552,1,98,SO44809,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-06-01T00:00:00.0000000,2011-06-13T00:00:00.0000000,2011-06-08T00:00:00.0000000
27,2024-08-24T18:56:29.5900000,332,20110104,20110116,20110111,14520,1,100,SO43723,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-01-04T00:00:00.0000000,2011-01-16T00:00:00.0000000,2011-01-11T00:00:00.0000000
3702,2024-08-24T18:56:29.5900000,341,20120701,20120713,20120708,20885,1,98,SO48806,1,1,782.9900,486.7066,486.7066,782.9900,62.6392,19.5748,2012-07-01T00:00:00.0000000,2012-07-13T00:00:00.0000000,2012-07-08T00:00:00.0000000
1230,2024-08-24T18:56:29.5900000,349,20110805,20110817,20110812,25994,1,100,SO45373,1,1,3374.9900,1898.0944,1898.0944,3374.9900,269.9992,84.3748,2011-08-05T00:00:00.0000000,2011-08-17T00:00:00.0000000,2011-08-12T00:00:00.0000000
3693,2024-08-24T18:56:29.5900000,385,20120630,20120712,20120707,14335,1,100,SO48797,1,1,1000.4375,605.6492,605.6492,1000.4375,80.0350,25.0109,2012-06-30T00:00:00.0000000,2012-07-12T00:00:00.0000000,2012-07-07T00:00:00.0000000
5518,2024-08-24T18:56:29.5900000,357,20121230,20130111,20130106,11338,1,100,SO51207,1,1,2319.9900,1265.6195,1265.6195,2319.9900,185.5992,57.9998,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
2946,2024-08-24T18:56:29.5900000,327,20120330,20120411,20120406,26165,1,6,SO47738,1,1,782.9900,486.7066,486.7066,782.9900,62.6392,19.5748,2012-03-30T00:00:00.0000000,2012-04-11T00:00:00.0000000,2012-04-06T00:00:00.0000000
5617,2024-08-24T18:56:29.5900000,604,20121231,20130112,20130107,29355,1,100,SO51244,1,1,539.9900,343.6496,343.6496,539.9900,43.1992,13.4998,2012-12-31T00:00:00.0000000,2013-01-12T00:00:00.0000000,2013-01-07T00:00:00.0000000
3687,2024-08-24T18:56:29.5900000,383,20120629,20120711,20120706,24915,1,6,SO48726,1,1,1000.4375,605.6492,605.6492,1000.4375,80.0350,25.0109,2012-06-29T00:00:00.0000000,2012-07-11T00:00:00.0000000,2012-07-06T00:00:00.0000000
1970,2024-08-24T18:56:29.5900000,314,20111123,20111205,20111130,20264,1,6,SO46299,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2011-11-23T00:00:00.0000000,2011-12-05T00:00:00.0000000,2011-11-30T00:00:00.0000000
2032,2024-08-24T18:56:29.5900000,345,20111205,20111217,20111212,11428,1,100,SO46429,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2011-12-05T00:00:00.0000000,2011-12-17T00:00:00.0000000,2011-12-12T00:00:00.0000000
1628,2024-08-24T18:56:29.5900000,347,20111009,20111021,20111016,11249,1,100,SO45872,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2011-10-09T00:00:00.0000000,2011-10-21T00:00:00.0000000,2011-10-16T00:00:00.0000000
208,2024-08-24T18:56:29.5900000,322,20110210,20110222,20110217,14576,1,100,SO43979,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-02-10T00:00:00.0000000,2011-02-22T00:00:00.0000000,2011-02-17T00:00:00.0000000
7,2024-08-24T18:56:29.5900000,310,20101230,20110111,20110106,16624,1,6,SO43703,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2010-12-30T00:00:00.0000000,2011-01-11T00:00:00.0000000,2011-01-06T00:00:00.0000000
5552,2024-08-24T18:56:29.5900000,480,20121230,20130111,20130106,11449,1,6,SO51217,4,1,2.2900,0.8565,0.8565,2.2900,0.1832,0.0573,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
1175,2024-08-24T18:56:29.5900000,328,20110728,20110809,20110804,19420,1,100,SO45239,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-07-28T00:00:00.0000000,2011-08-09T00:00:00.0000000,2011-08-04T00:00:00.0000000
282,2024-08-24T18:56:29.5900000,338,20110226,20110310,20110305,19329,1,29,SO44053,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-02-26T00:00:00.0000000,2011-03-10T00:00:00.0000000,2011-03-05T00:00:00.0000000
5575,2024-08-24T18:56:29.5900000,380,20121231,20130112,20130107,22822,1,98,SO51226,1,1,2443.3500,1554.9479,1554.9479,2443.3500,195.4680,61.0838,2012-12-31T00:00:00.0000000,2013-01-12T00:00:00.0000000,2013-01-07T00:00:00.0000000
2213,2024-08-24T18:56:29.5900000,358,20111229,20120110,20120105,12355,1,6,SO46682,1,1,2049.0982,1105.8100,1105.8100,2049.0982,163.9279,51.2275,2011-12-29T00:00:00.0000000,2012-01-10T00:00:00.0000000,2012-01-05T00:00:00.0000000
1237,2024-08-24T18:56:29.5900000,324,20110806,20110818,20110813,18010,1,100,SO45380,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-08-06T00:00:00.0000000,2011-08-18T00:00:00.0000000,2011-08-13T00:00:00.0000000
1468,2024-08-24T18:56:29.5900000,340,20110912,20110924,20110919,25829,1,6,SO45675,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-09-12T00:00:00.0000000,2011-09-24T00:00:00.0000000,2011-09-19T00:00:00.0000000
5547,2024-08-24T18:56:29.5900000,477,20121230,20130111,20130106,11117,1,6,SO51216,4,1,4.9900,1.8663,1.8663,4.9900,0.3992,0.1248,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
5507,2024-08-24T18:56:29.5900000,479,20121230,20130111,20130106,18208,1,6,SO51203,2,1,8.9900,3.3623,3.3623,8.9900,0.7192,0.2248,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
3,2024-08-24T18:56:29.5900000,346,20101229,20110110,20110105,25863,1,100,SO43699,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2010-12-29T00:00:00.0000000,2011-01-10T00:00:00.0000000,2011-01-05T00:00:00.0000000
5566,2024-08-24T18:56:29.5900000,577,20121230,20130111,20130106,26826,2,100,SO51223,1,1,1214.8500,755.1508,755.1508,1214.8500,97.1880,30.3713,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
32964,2024-08-24T18:56:29.5900000,463,20130801,20130813,20130808,21073,1,100,SO63391,1,1,24.4900,9.1593,9.1593,24.4900,1.9592,0.6123,2013-08-01T00:00:00.0000000,2013-08-13T00:00:00.0000000,2013-08-08T00:00:00.0000000
5504,2024-08-24T18:56:29.5900000,578,20121229,20130110,20130105,26864,1,100,SO51202,1,1,1214.8500,755.1508,755.1508,1214.8500,97.1880,30.3713,2012-12-29T00:00:00.0000000,2013-01-10T00:00:00.0000000,2013-01-05T00:00:00.0000000
1821,2024-08-24T18:56:29.5900000,336,20111103,20111115,20111110,20569,1,98,SO46150,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-11-03T00:00:00.0000000,2011-11-15T00:00:00.0000000,2011-11-10T00:00:00.0000000
2617,2024-08-24T18:56:29.5900000,375,20120216,20120228,20120223,13277,1,100,SO47225,1,1,2181.5625,1320.6838,1320.6838,2181.5625,174.5250,54.5391,2012-02-16T00:00:00.0000000,2012-02-28T00:00:00.0000000,2012-02-23T00:00:00.0000000
2158,2024-08-24T18:56:29.5900000,351,20111221,20120102,20111228,12010,1,6,SO46555,1,1,3374.9900,1898.0944,1898.0944,3374.9900,269.9992,84.3748,2011-12-21T00:00:00.0000000,2012-01-02T00:00:00.0000000,2011-12-28T00:00:00.0000000
843,2024-08-24T18:56:29.5900000,313,20110608,20110620,20110615,14793,1,98,SO44867,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2011-06-08T00:00:00.0000000,2011-06-20T00:00:00.0000000,2011-06-15T00:00:00.0000000
9457,2024-08-24T18:56:29.5900000,585,20130218,20130302,20130225,28770,1,100,SO52958,1,1,742.3500,461.4448,461.4448,742.3500,59.3880,18.5588,2013-02-18T00:00:00.0000000,2013-03-02T00:00:00.0000000,2013-02-25T00:00:00.0000000
685,2024-08-24T18:56:29.5900000,344,20110513,20110525,20110520,29449,1,29,SO44646,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2011-05-13T00:00:00.0000000,2011-05-25T00:00:00.0000000,2011-05-20T00:00:00.0000000
35741,2024-08-24T18:56:29.5900000,471,20130818,20130830,20130825,23653,1,6,SO64508,4,1,63.5000,23.7490,23.7490,63.5000,5.0800,1.5875,2013-08-18T00:00:00.0000000,2013-08-30T00:00:00.0000000,2013-08-25T00:00:00.0000000
45556,2024-08-24T18:56:29.5900000,473,20131020,20131101,20131027,14158,1,98,SO68748,4,1,63.5000,23.7490,23.7490,63.5000,5.0800,1.5875,2013-10-20T00:00:00.0000000,2013-11-01T00:00:00.0000000,2013-10-27T00:00:00.0000000
5530,2024-08-24T18:56:29.5900000,565,20121230,20130111,20130106,13841,1,98,SO51211,1,1,742.3500,461.4448,461.4448,742.3500,59.3880,18.5588,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
3547,2024-08-24T18:56:29.5900000,354,20120615,20120627,20120622,13113,1,6,SO48586,1,1,2071.4196,1117.8559,1117.8559,2071.4196,165.7136,51.7855,2012-06-15T00:00:00.0000000,2012-06-27T00:00:00.0000000,2012-06-22T00:00:00.0000000
5561,2024-08-24T18:56:29.5900000,390,20121230,20130111,20130106,12130,1,100,SO51221,1,1,1120.4900,713.0798,713.0798,1120.4900,89.6392,28.0123,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
